cue,escuela,lat,lon,estado,motivo,localidad
060571600,JARDÍN DE INFANTES Nº905 EL JARDÍN DE LA PLAZA,-34.629981,-58.617779,rojo,Techos en estado malo,EL PALOMAR
060620100,JARDÍN DE INFANTES Nº906 PICHI LIHUEL,-34.638966,-58.593767,rojo,Sin agua corriente,HAEDO
060422400,JARDÍN DE INFANTES Nº908 CREAR JUGANDO,-34.629579,-58.595532,rojo,Medidor o artefacto clausurado por la distribuidora,HAEDO
060423400,JARDÍN DE INFANTES Nº910 VILLA ROSALES,-34.625758,-58.589973,rojo,Sectores del edificio clausurados,EL PALOMAR
060053400,JARDÍN DE INFANTES Nº911 ALITAS ARGENTINAS,-34.627316,-58.605864,rojo,Techos en estado malo,EL PALOMAR
060050200,JARDÍN DE INFANTES Nº921,-34.631746,-58.605316,rojo,Techos en estado malo,HAEDO
060615700,JARDÍN DE INFANTES Nº926 M. B. D. NAUDEAU,-34.640900,-58.603827,rojo,Aulas en uso sin calefacción,HAEDO
060014700,JARDÍN DE INFANTES Nº928 ROSARIO VERA PEÑALOZA,-34.638120,-58.627087,rojo,Aulas en uso sin calefacción,CASTELAR
060053900,JARDÍN DE INFANTES Nº930 CLUB DE LEONES DE MORON,-34.655470,-58.628931,rojo,Techos en estado malo,MORON
062280000,JARDÍN DE INFANTES Nº934,-34.687624,-58.653307,rojo,Techos en estado malo,CASTELAR
062106500,JARDÍN MUNICIPAL Nº14 TOLKEYEN,-34.623629,-58.592295,rojo,Salidas de emergencia obstruidas,EL PALOMAR
061076200,JARDÍN MUNICIPAL Nº2 CASCABELES,-34.649453,-58.583078,rojo,Techos en estado malo,HAEDO
060268800,JARDÍN MUNICIPAL Nº3 TAMBOR DE TACUARI,-34.658581,-58.656896,rojo,Salidas de emergencia obstruidas,CASTELAR
062068700,CENTRO DE FORMACIÓN PROFESIONAL GASTRONOMÍA,-34.643955,-58.588545,verde,OK,HAEDO
060554300,ESCUELA DE EDUCACIÓN SECUNDARIA Nº9 FRAGATA SARMIENTO,-34.662054,-58.654532,verde,OK,CASTELAR
060612000,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº6 CHACABUCO,-34.647864,-58.608681,verde,OK,MORON
060644200,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº8,-34.636140,-58.608359,verde,OK,HAEDO
060052800,ESCUELA ESPECIAL MUNICIPAL MI FUTURO,-34.613555,-58.598284,verde,OK,EL PALOMAR
061476600,ESCUELA MUNICIPAL DE DANZAS JOSÉ NEGLIA,-34.646898,-58.619431,verde,OK,MORON
060422900,JARDÍN DE INFANTES Nº912 CARLOS GARDEL,-34.628131,-58.578026,verde,OK,EL PALOMAR
060053200,JARDÍN DE INFANTES Nº923,-34.622138,-58.601319,verde,OK,EL PALOMAR
060565300,JARDÍN MUNICIPAL Nº1 DR. ALFREDO PALACIOS,-34.648306,-58.625912,verde,OK,MORON
